block_Norm,state,state_label,p_target,p_tcd,p_distractor,median_dur_ms,sd_log_dur,n_trials,ll
1,1,Efficient Search,0.28893192742916946,0.3103311032400901,0.4007369693307406,194.79819461686935,0.7000299916046259,581,-2832.2638504563506
1,2,Distractor Engagement,0,0.43786166444209257,0.5621383355579075,208.57081886398527,0.26344703532685515,581,-2832.2638504563506
2,1,Efficient Search,0.3604025853023516,0.2463672177079814,0.39323019698966694,200.69564347241936,0.6496781309585208,601,-2736.3521201901103
2,2,Distractor Engagement,0,0.44330286837556016,0.5566971316244399,205.5448676848177,0.25530660678972555,601,-2736.3521201901103
3,1,Efficient Search,0.3144628292004043,0.32658900315373884,0.3589481676458569,203.0760539227379,0.6484436610877243,618,-2777.5533364717503
3,2,Distractor Engagement,0,0.41985529652636916,0.5801447034736308,208.22539764356694,0.23301919805773375,618,-2777.5533364717503
4,1,Distractor Engagement,0,0.4264418759132785,0.5735581240867216,207.3964359309255,0.21459386827407617,628,-2840.212222406542
4,2,Efficient Search,0.2820589353127243,0.28396684103720277,0.433974223650073,194.04814577480568,0.6369844789104325,628,-2840.212222406542
5,1,Efficient Search,0.39095324291733097,0.2652571328162671,0.34378962426640186,203.970098440153,0.6500537186480201,621,-2700.7567976710093
5,2,Distractor Engagement,0,0.43223864429166686,0.5677613557083332,206.92688471417085,0.23221189039422752,621,-2700.7567976710093
6,1,Efficient Search,0.24947011277454778,0.30614227755742146,0.4443876096680307,191.91777339665668,0.6422935720936921,625,-2822.7623871922638
6,2,Distractor Engagement,0,0.430051677057064,0.5699483229429361,208.6184376512023,0.18599112875760826,625,-2822.7623871922638
7,1,Distractor Engagement,1.3069253191645116e-5,0.42347205906661756,0.5765148716801909,212.01169457387212,0.15771087750929363,626,-2718.872427373412
7,2,Efficient Search,0.20887005514211301,0.30159140223262654,0.4895385426252605,190.80178245861526,0.5611201283284802,626,-2718.872427373412
8,1,Efficient Search,0.2435597321469999,0.28017437516497096,0.47626589268802905,199.70391100234085,0.6010554733114005,625,-2722.6193729190363
8,2,Distractor Engagement,0,0.43131083968531847,0.5686891603146815,207.0999143112035,0.19684422378069705,625,-2722.6193729190363
