subjnum,mean_p_efficient,learning_slope,transition_trial,end_p_efficient,early_p_efficient,late_p_efficient,cd_mean_efficient,cd_learning_slope,cd_end_efficient,vd_mean_efficient,vd_learning_slope,vd_end_efficient,overall_suppress,early_suppress,late_suppress,suppress_growth
1,0.31944966841369854,-2.6589632322616507e-5,132,0.3090325138451673,0.31437291478504853,0.30358464389826145,0.33436636045883433,5.4973819333548636e-5,0.3414626456286361,0.3049154556517713,-9.749639005884556e-5,0.278918820046232,0.03227089842649694,0.04871678524240797,0.05596580559573522,0.007249020353327251
3,0.2532072566028571,1.1219332072895347e-5,59,0.2259151129381099,0.21980084934453908,0.23613966241581058,0.26105745464735197,1.786216800727691e-4,0.26992603707065277,0.24631082093759993,-1.211753413244004e-4,0.1936404352409118,0.012147696776754813,0.02315658933723952,0.019852543450000593,-0.0033040458872389267
5,0.2917795445575408,1.287473788211727e-4,132,0.30400372268764364,0.2782388222527005,0.2992666465778656,0.2896320033693593,6.042955762520418e-5,0.2954787259967623,0.29390643631122054,1.9291682053109932e-4,0.31394955216033854,-0.004158521289498909,-0.005446947030644744,-0.020218026528689093,-0.014771079498044348
7,0.27626549026024677,-1.8687635286865472e-4,23,0.27217153892038914,0.3037276964162286,0.26230793925086904,0.27759909205991184,-1.3378168315737577e-4,0.25500398587663287,0.2749689329550168,-2.359740325298406e-4,0.2881128381753057,0.0047098696498575066,-0.019546082216401472,0.002463129796332175,0.022009212012733648
9,0.26837535655394157,-3.187287879499359e-4,213,0.24247015875553601,0.2954326014547911,0.24417113993523196,0.2628376694999168,-2.744732132130493e-4,0.2319680508897027,0.2740185233613763,-3.621312530186967e-4,0.25378012107258724,-0.009803228845467526,-0.0397940903755481,0.004322342868442575,0.04411643324399067
11,0.2648390880446323,3.356390387008158e-6,NA,0.26809905678091683,0.2615691845902637,0.2719278996404974,0.26046419367266205,-1.3530081895885967e-4,0.2697884175275159,0.269255648077288,1.418478932250587e-4,0.26640969603431774,-0.007064975765979406,0.020927605591971377,-0.03128217837810687,-0.05220978397007825
13,0.31014033728145396,-8.808654326843185e-5,206,0.28194219413890254,0.3216164351471197,0.2953755543954594,0.31012097340420375,-5.465685553998866e-5,0.2864726041958779,0.3101600808425719,-1.2436480737978444e-4,0.2770632910006214,0.0021316566771634737,-0.004046089709375367,-0.02064885429567498,-0.016602764586299612
15,0.2505684214717422,4.2376535789985406e-5,NA,0.23587746896930292,0.23707747749382696,0.25595284767816934,0.23663182917617834,1.941527799595814e-4,0.24371560468099637,0.26391196728664373,-9.556914753629167e-5,0.2280393332576095,-0.03207124221799111,-0.045459410641235376,0.002606580820980642,0.04806599146221602
17,0.39798331976806145,-1.0723613490567574e-4,13,0.42138223649183726,0.41696569340796896,0.4017051502497819,0.37707636539232964,-2.631443632628408e-4,0.31417208879810143,0.41684502860703687,1.4980484084408642e-5,0.5120985153096137,-0.04812905499429666,-0.0028587454803016277,-0.07207206582393463,-0.069213320343633
19,0.2928142150190395,-4.345848141353582e-4,NA,0.2703327654467704,0.3523110679412491,0.266349659605146,0.2898952456011619,-4.314628380488819e-4,0.25145777108918194,0.2958721829806255,-4.394324766025811e-4,0.28920775980435875,-0.00817479931397766,-0.01910996841157686,-0.007656201129070228,0.011453767282506633
