subjnum,TaskOrder,block,block_Norm,trial,trial_num,trial_id,condition,saccindex,curritem,obs,Dwell,log_dur,p_efficient,p_engaged,decoded
1,VST_first,2,1,34,2,1_2_34,VD,1,Distractor,3,138,4.927253685157205,0.10890836121400348,0.8910916387859965,Distractor Engagement
1,VST_first,2,1,34,2,1_2_34,VD,2,Distractor,3,98,4.584967478670572,0.9471077592763397,0.05289224072366033,Efficient Search
1,VST_first,2,1,34,2,1_2_34,VD,3,Distractor,3,140,4.941642422609304,0.3179732858097537,0.6820267141902463,Distractor Engagement
1,VST_first,2,1,34,2,1_2_34,VD,4,Distractor,3,108,4.68213122712422,0.8461436473770452,0.1538563526229548,Efficient Search
1,VST_first,2,1,34,2,1_2_34,VD,5,TCD,2,244,5.497168225293202,0.13047372309116873,0.8695262769088312,Distractor Engagement
1,VST_first,2,1,35,3,1_2_35,CD,1,Distractor,3,314,5.749392985908253,0.11069426951792402,0.889305730482076,Distractor Engagement
1,VST_first,2,1,35,3,1_2_35,CD,2,Distractor,3,190,5.247024072160486,0.12686176893644702,0.873138231063553,Distractor Engagement
1,VST_first,2,1,35,3,1_2_35,CD,3,Distractor,3,212,5.356586274672012,0.11965938536214575,0.8803406146378542,Distractor Engagement
1,VST_first,2,1,36,4,1_2_36,VD,1,TCD,2,140,4.941642422609304,0.09911547156989331,0.9008845284301067,Distractor Engagement
1,VST_first,2,1,36,4,1_2_36,VD,2,TCD,2,226,5.420534999272286,0.12522395397607067,0.8747760460239293,Distractor Engagement
1,VST_first,2,1,36,4,1_2_36,VD,3,Distractor,3,190,5.247024072160486,0.12686176893644702,0.8731382310635529,Distractor Engagement
1,VST_first,2,1,36,4,1_2_36,VD,4,Distractor,3,214,5.365976015021851,0.12007416466834607,0.8799258353316539,Distractor Engagement
1,VST_first,2,1,37,5,1_2_37,VD,1,TCD,2,174,5.159055299214529,0.03614006570560659,0.9638599342943934,Distractor Engagement
1,VST_first,2,1,37,5,1_2_37,VD,2,Target,1,516,6.246106765481563,1,0,Efficient Search
