condition,block_Norm,M_efficient,SE_efficient,M_engaged,SE_engaged
CD,1,0.31921016016038634,0.00990409541522526,0.6807898398396136,0.009904095415225259
CD,2,0.3042758698865735,0.009448967313920798,0.6957241301134265,0.009448967313920798
CD,3,0.3009595154580961,0.009501284027462706,0.6990404845419039,0.009501284027462706
CD,4,0.3029396678984089,0.0098133731388519,0.6970603321015911,0.009813373138851899
CD,5,0.3020371164085933,0.009658693289896778,0.6979628835914067,0.009658693289896778
CD,6,0.3018226724879097,0.010253295249795588,0.6981773275120903,0.010253295249795586
CD,7,0.2979440301077869,0.010077863390405983,0.7020559698922131,0.010077863390405981
CD,8,0.29398264364521964,0.010022589967717455,0.7060173563547804,0.010022589967717455
VD,1,0.31910349818831146,0.010454535255822043,0.6808965018116885,0.010454535255822043
VD,2,0.30985637095783564,0.009857699630330546,0.6901436290421644,0.009857699630330547
VD,3,0.3086029919487901,0.010079428761980685,0.69139700805121,0.010079428761980687
VD,4,0.3026974854948975,0.009554980795537833,0.6973025145051025,0.009554980795537835
VD,5,0.30176977640966957,0.009888436769474972,0.6982302235903304,0.009888436769474972
VD,6,0.30224532918754615,0.009346664796252195,0.6977546708124538,0.009346664796252197
VD,7,0.2993136237100151,0.009753698110135767,0.7006863762899849,0.009753698110135768
VD,8,0.2975735681325811,0.010174068831884733,0.7024264318674189,0.01017406883188473
